date,S&P 500 P/E (TTM)
1927-12-31,15.9099
1928-01-31,14.8898
1928-02-29,14.6271
1928-03-31,16.339
1928-04-30,15.8
1928-05-31,16
1928-06-30,15.312
1928-07-31,14.8321
1928-08-31,15.9313
1928-09-30,16.1374
1928-10-31,15.7101
1928-11-30,17.5942
1928-12-31,17.6449
1929-01-31,17.875
1929-02-28,17.7708
1929-03-31,17.7292
1929-04-30,17.2933
1929-05-31,16.5533
1929-06-30,18.2733
1929-07-31,18.6323
1929-08-31,20.4581
1929-09-30,19.4581
1929-10-31,15
1929-11-30,12.9938
1929-12-31,13.323
1930-01-31,15.7172
1930-02-28,16.0552
1930-03-31,16.6552
1930-04-30,19.3023
1930-05-31,18.9845
1930-06-30,15.8605
1930-07-31,18.7699
1930-08-31,18.9115
1930-09-30,16.4513
1930-10-31,17.4639
1930-11-30,17.0825
1930-12-31,15.8144
1931-01-31,18.2841
1931-02-28,20.375
1931-03-31,18.9659
1931-04-30,19.1013
1931-05-31,16.481
1931-06-30,18.7722
1931-07-31,19.6143
1931-08-31,19.8
1931-09-30,13.8714
1931-10-31,17.2623
1931-11-30,15.5738
1931-12-31,13.3115
1932-01-31,14.0893
1932-02-29,14.8036
1932-03-31,13.0536
1932-04-30,11.4314
1932-05-31,8.7647
1932-06-30,8.6863
1932-07-31,13.2609
1932-08-31,18.2391
1932-09-30,17.5652
1932-10-31,16.9756
1932-11-30,15.9756
1932-12-31,16.8049
1933-01-31,16.5238
1933-02-28,13.4762
1933-03-31,13.9286
1933-04-30,19.3488
1933-05-31,22.4186
1933-06-30,25.3721
1933-07-31,23.1395
1933-08-31,25.7907
1933-09-30,22.8605
1933-10-31,20.3636
1933-11-30,22.4545
1933-12-31,22.9545
1934-01-31,24.8222
1934-02-28,23.9111
1934-03-31,23.8889
1934-04-30,22.2553
1934-05-31,20.4468
1934-06-30,20.8723
1934-07-31,18.0833
1934-08-31,19.0625
1934-09-30,18.9583
1934-10-31,17.9796
1934-11-30,19.4694
1934-12-31,19.3878
1935-01-31,12.4658
1935-02-28,11.9726
1935-03-31,11.6027
1935-04-30,11.4568
