Date,HFRI Fund Weighted Composite Index (HFRIFWI)
1990-01-31,-0.0211
1990-02-28,0.0154
1990-03-31,0.0321
1990-04-30,-0.0004
1990-05-31,0.0305
1990-06-30,0.0210
1990-07-31,0.0150
1990-08-31,-0.0345
1990-09-30,-0.0196
1990-10-31,-0.0004
1990-11-30,0.0075
1990-12-31,0.0135
1991-01-31,0.0259
1991-02-28,0.0402
1991-03-31,0.0495
1991-04-30,0.0134
1991-05-31,0.0198
1991-06-30,0.0041
1991-07-31,0.0262
1991-08-31,0.0206
1991-09-30,0.0232
1991-10-31,0.0183
1991-11-30,0.0027
1991-12-31,0.0395
1992-01-31,0.0384
1992-02-29,0.0214
1992-03-31,0.0059
1992-04-30,0.0030
1992-05-31,0.0184
1992-06-30,-0.0041
1992-07-31,0.0208
1992-08-31,-0.0027
1992-09-30,0.0194
1992-10-31,0.0211
1992-11-30,0.0280
1992-12-31,0.0253
1993-01-31,0.0232
1993-02-28,0.0134
1993-03-31,0.0306
1993-04-30,0.0149
1993-05-31,0.0260
1993-06-30,0.0262
1993-07-31,0.0209
1993-08-31,0.0293
1993-09-30,0.0158
1993-10-31,0.0318
1993-11-30,0.0015
1993-12-31,0.0391
1994-01-31,0.0250
1994-02-28,-0.0055
1994-03-31,-0.0151
1994-04-30,-0.0059
1994-05-31,0.0068
1994-06-30,0.0027
1994-07-31,0.0135
1994-08-31,0.0246
1994-09-30,0.0089
1994-10-31,-0.0003
1994-11-30,-0.0127
1994-12-31,-0.0008
1995-01-31,-0.0022
1995-02-28,0.0131
1995-03-31,0.0165
1995-04-30,0.0210
1995-05-31,0.0170
1995-06-30,0.0248
1995-07-31,0.0320
1995-08-31,0.0220
1995-09-30,0.0196
1995-10-31,-0.0065
1995-11-30,0.0189
1995-12-31,0.0208
1996-01-31,0.0289
1996-02-29,0.0123
1996-03-31,0.0146
1996-04-30,0.0396
1996-05-31,0.0305
1996-06-30,0.0018
1996-07-31,-0.0208
1996-08-31,0.0228
1996-09-30,0.0207
1996-10-31,0.0098
1996-11-30,0.0208
1996-12-31,0.0133
1997-01-31,0.0317
1997-02-28,0.0103
1997-03-31,-0.0164
1997-04-30,-0.0011
1997-05-31,0.0438
1997-06-30,0.0270
1997-07-31,0.0387
1997-08-31,0.0034
1997-09-30,0.0372
1997-10-31,-0.0153
1997-11-30,-0.0093
1997-12-31,0.0088
1998-01-31,-0.0071
1998-02-28,0.0327
1998-03-31,0.0300
1998-04-30,0.0096
1998-05-31,-0.0208
1998-06-30,-0.0013
1998-07-31,-0.0079
1998-08-31,-0.0870
1998-09-30,0.0069
1998-10-31,0.0122
1998-11-30,0.0371
1998-12-31,0.0279
1999-01-31,0.0224
